File,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
https://www.govinfo.gov/content/pkg/CHRG-107hhrg73798/html/CHRG-107hhrg73798.htm,2001-04-26,14773,1,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg72828/html/CHRG-107hhrg72828.htm,2001-05-01,1241,0,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg73750/html/CHRG-107hhrg73750.htm,2001-05-02,53018,20,3,4,0,0,8,2,7,0,1,0,0
"https://www.govinfo.gov/content/pkg/CHRG-107hhrg74221/html/CHRG-107hhrg74221.htm,https://www.govinfo.gov/content/pkg/CHRG-107hhrg73724/html/CHRG-107hhrg73724.htm",2001-05-03,92641,30,5,9,3,2,29,2,9,2,4,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg74567/html/CHRG-107shrg74567.htm,2001-05-10,43795,56,7,5,2,0,39,7,21,2,1,0,0
"https://www.govinfo.gov/content/pkg/CHRG-107shrg75190/html/CHRG-107shrg75190.htm,https://www.govinfo.gov/content/pkg/CHRG-107hhrg72827/html/CHRG-107hhrg72827.htm",2001-05-15,112008,132,14,19,3,3,83,13,19,3,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg72516/html/CHRG-107hhrg72516.htm,2001-05-19,57207,19,12,13,6,0,13,14,32,4,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg72515/html/CHRG-107hhrg72515.htm,2001-05-22,41490,15,14,9,0,1,8,15,10,1,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg75354/html/CHRG-107shrg75354.htm,2001-05-24,122033,56,17,18,0,6,47,21,29,3,8,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg74228/html/CHRG-107hhrg74228.htm,2001-06-12,80055,92,15,36,1,0,80,15,37,5,4,0,0
"https://www.govinfo.gov/content/pkg/CHRG-107hhrg72826/html/CHRG-107hhrg72826.htm,https://www.govinfo.gov/content/pkg/CHRG-107hhrg74229/html/CHRG-107hhrg74229.htm,https://www.govinfo.gov/content/pkg/CHRG-107shrg75477/html/CHRG-107shrg75477.htm",2001-06-13,227670,125,30,55,27,6,100,32,81,24,13,0,0
"https://www.govinfo.gov/content/pkg/CHRG-107hhrg73913/html/CHRG-107hhrg73913.htm,https://www.govinfo.gov/content/pkg/CHRG-107hhrg73595/html/CHRG-107hhrg73595.htm",2001-06-20,76525,12,8,6,2,1,10,6,15,6,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg73731/html/CHRG-107hhrg73731.htm,2001-06-22,78810,19,11,5,3,3,24,12,17,7,3,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg73738/html/CHRG-107hhrg73738.htm,2001-06-27,110286,114,6,24,1,11,33,9,20,5,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg76302/html/CHRG-107shrg76302.htm,2001-06-28,40241,14,3,4,4,5,15,2,0,4,1,0,5
https://www.govinfo.gov/content/pkg/CHRG-107shrg76380/html/CHRG-107shrg76380.htm,2001-07-06,27299,27,1,2,1,0,17,1,2,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg73674/html/CHRG-107hhrg73674.htm,2001-07-11,65853,12,6,8,1,0,7,6,6,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg75728/html/CHRG-107shrg75728.htm,2001-07-13,157287,65,35,19,19,2,68,27,28,22,3,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg76057/html/CHRG-107shrg76057.htm,2001-07-19,209538,96,21,75,23,19,81,28,142,9,11,0,1
https://www.govinfo.gov/content/pkg/CHRG-107shrg77096/html/CHRG-107shrg77096.htm,2001-08-13,34559,18,3,21,2,0,16,3,42,1,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg77298/html/CHRG-107hhrg77298.htm,2001-08-27,23314,0,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg75504/html/CHRG-107hhrg75504.htm,2001-10-03,32990,30,3,6,2,0,30,2,7,2,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg79816/html/CHRG-107shrg79816.htm,2002-02-12,37573,21,1,4,7,1,5,1,3,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg77988/html/CHRG-107hhrg77988.htm,2002-02-13,80341,4,6,11,0,2,2,7,15,0,4,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg77680/html/CHRG-107hhrg77680.htm,2002-02-14,22863,3,0,0,3,0,3,0,0,3,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg82393/html/CHRG-107shrg82393.htm,2002-02-27,20556,1,0,1,0,1,0,0,1,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg79478/html/CHRG-107hhrg79478.htm,2002-02-28,21326,3,0,1,0,0,0,0,0,0,0,0,0
