Debates,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
Energy Regulation ,2009-06-10,12626,0,1,0,1,0,0,1,0,1,0,0,0
Green Energy (Definition and Promotion Bill) (Money) ,2009-06-17,1176,0,0,0,0,0,0,0,0,0,0,0,0
Energy Security and Nuclear Non-Proliferation ,2009-07-01,4234,2,0,0,1,0,0,0,0,1,0,0,0
"Domestic Energy Users ,Green Energy (Definition and Promotion) Bill ",2009-07-03,21443,0,1,2,8,4,0,1,2,3,0,8,1
"Domestic Energy Tariffs ,Energy (Waste Facilities) ,Energy and Climate Change ,Home Energy Efficiency ,Renewable Energy ",2009-07-09,12961,4,1,1,1,0,2,1,1,0,0,5,1
Energy Production ,2009-10-13,4977,7,3,4,0,0,6,3,4,0,0,0,0
"Energy and Climate Change ,Energy Pricing 2009-11-05 (1).txt,Energy Pricing ,Marine Energy ",2009-11-05,11258,4,0,0,0,0,3,0,0,0,0,1,0
Energy National Policy Statements ,2009-11-09,9252,10,1,3,0,0,8,1,2,0,0,0,0
"Energy and Climate Change and Environment, Food and Rural Affairs ",2009-11-24,56933,25,2,0,19,4,15,2,0,2,0,3,4
Energy Efficiency (House of Commons) ,2009-11-26,548,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bill ,2009-12-07,47134,15,3,4,11,2,5,6,3,8,0,1,3
"Energy and Climate Change ,Tidal Energy ,Wind Energy ",2010-01-07,11172,4,1,0,1,0,1,1,0,1,0,0,0
Energy Security ,2010-01-13,26694,7,4,4,2,1,4,6,5,2,0,0,0
Energy Bill ,2010-02-24,42630,14,1,0,1,0,3,4,0,1,0,0,1
Energy and Climate Change ,2010-02-25,10490,5,1,0,3,0,2,2,0,3,0,0,1
Energy Security ,2010-03-02,399,0,0,0,0,0,0,0,0,0,0,0,0
Home Energy Efficiency ,2010-03-03,12953,0,0,2,1,1,0,1,0,0,0,0,0
"Energy Costs (Highlands and Islands) 2010-03-10 (1).txt,Energy Costs (Highlands and Islands) ",2010-03-10,417,0,0,0,0,0,0,0,0,0,0,0,0
"Commons Chamber ,Energy Bill ,Housing (Energy Efficiency) 2010-04-08 (1).txt,Housing (Energy Efficiency) ,Wave Energy ",2010-04-08,51989,10,0,1,17,2,6,0,1,3,0,3,0
"Energy and Environment, Food and Rural Affairs ",2010-05-27,59846,19,7,4,19,3,11,4,1,8,0,8,0
Energy ,2010-06-16,163,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Energy ,2010-06-22,14113,4,1,1,1,0,4,2,1,1,0,0,0
Energy Efficiency ,2010-06-30,53355,18,1,3,6,8,9,1,1,1,1,4,0
"Energy and Climate Change ,Energy Supply (Security) ,Energy Supply Security ,Energy-from-Waste Incinerators ,Wave_Tidal Energy ",2010-07-01,11330,2,2,0,3,6,1,0,0,3,2,9,0
Energy Security ,2010-07-08,17888,2,1,0,0,1,3,2,0,0,1,1,0
Offshore Energy Industry ,2010-07-13,13699,0,0,0,0,1,0,0,0,0,0,0,0
Renewable Energy Projects ,2010-07-14,4137,0,0,0,0,0,0,0,0,0,0,0,0
Annual Energy Statement ,2010-07-27,7408,2,2,0,0,0,1,2,0,0,0,1,0
"Energy and Climate Change ,Energy Markets (Security of Supply) ,Offshore Renewable Energy ,Ofgem (Energy Prices) ",2010-09-16,12055,9,0,0,2,0,5,1,0,2,0,8,0
Renewable Energy ,2010-10-27,684,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Efficiency ",2010-11-11,10782,3,1,0,3,1,1,0,0,2,0,4,0
Energy Efficiency Measures ,2010-11-17,3607,0,0,0,2,0,0,0,0,1,0,0,0
Energy ,2010-12-01,433,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Industry (East Anglia) ,Hospital Energy Consumption ",2010-12-07,4960,1,0,0,2,0,1,0,0,2,0,0,0
"Community Energy Schemes ,Energy and Climate Change ,Energy Prices ,Geothermal Energy ,Low-carbon Energy Products ",2010-12-16,13004,0,0,0,4,3,0,1,0,2,3,0,0
Energy Industries ,2011-01-26,467,1,0,0,0,0,1,0,0,0,0,0,0
"Energy and Climate Change ,Energy Efficiency (Rural Areas) ,Energy Prices ,Onshore Wind Energy ",2011-02-10,38823,5,2,4,6,3,5,2,7,3,1,4,0
Renewable Energy (The Humber) ,2011-02-16,4791,2,0,1,1,0,2,0,0,0,0,1,0
Renewable Energy Directive ,2011-03-10,581,0,0,0,3,0,0,0,0,6,0,0,0
Energy Policy ,2011-03-16,449,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Efficiency ,Energy Supplies ",2011-03-24,11745,3,0,2,4,0,0,0,2,0,0,0,0
Renewable Energy ,2011-04-28,354,0,0,0,0,0,0,0,0,0,0,0,0
Renewable Energy ,2011-05-04,716,0,0,0,1,0,0,0,0,0,0,0,0
Energy Bill [Lords] ,2011-05-10,45865,5,1,1,6,2,6,1,1,5,1,6,0
"Energy and Climate Change ,Energy Bill (Consumer Protection) ,Energy Company Obligation ,Energy-intensive Industries ,Onshore Wind Energy ,Tidal Energy ",2011-05-19,12030,3,2,0,1,0,2,4,0,1,0,3,0
"Community Energy Projects ,Domestic Energy Bills ,Employment and Skills (Energy Sector) ,Energy and Climate Change ,Energy Efficiency (Housing) ,Energy Saving Trust ,Energy Supply (Decarbonisation) ,Energy Tariffs ,Renewable Energy Infrastructure ",2011-07-07,16237,0,4,0,4,0,0,1,0,2,0,7,0
National Policy Statements (Energy) ,2011-07-18,21114,8,8,2,3,3,7,8,2,2,2,9,0
"Domestic Energy Prices ,Energy Powers (Wales) ",2011-09-06,4967,1,1,0,1,0,1,1,0,0,0,0,0
"Energy Bill [Lords] ,Energy Prices ",2011-09-14,51023,2,8,0,4,0,0,7,0,4,1,5,0
Energy Prices ,2011-10-19,44567,1,3,0,2,0,1,7,0,1,1,0,2
"Energy and Climate Change ,Energy Bill ,Energy Efficiency Schemes (SMEs) ,Energy Tariffs 2011-10-20 (1).txt,Energy Tariffs ,Energy-intensive Industries ,Low-carbon Energy (Employment) ",2011-10-20,14020,1,4,0,2,0,1,5,0,2,0,0,0
Energy Prices ,2011-11-09,491,0,0,0,0,0,0,0,0,0,0,0,0
Annual Energy Statement ,2011-11-23,7970,4,5,2,2,0,5,1,1,2,0,0,0
"Domestic Energy Bills ,Domestic Energy Costs ,Energy and Climate Change ,Energy Credit ,Energy Infrastructure ,Energy Prices ",2011-12-01,13754,1,3,0,9,0,0,3,0,2,0,2,0
Energy and Climate Change ,2011-12-20,6856,0,1,0,0,1,0,0,0,0,1,0,0
Energy Prices ,2012-01-11,21335,4,3,0,1,0,1,4,0,1,0,1,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency 2012-01-26 (1).txt,Energy Efficiency ,Renewable Energy ",2012-01-26,12437,2,8,0,5,0,1,3,2,0,0,2,0
Offshore Renewable Energy (East Anglia) ,2012-01-31,4623,0,1,1,0,0,0,0,0,0,0,0,0
Energy Suppliers and Prices ,2012-02-28,5137,1,2,0,1,0,0,2,0,1,0,0,0
"Renewable Energy ,South West Marine Energy Park ",2012-02-29,9064,2,1,0,3,0,2,1,0,3,0,2,0
Energy Generation (Planning and Right  to Invest) ,2012-03-06,1152,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Bills 2012-03-08 (1).txt,Energy Bills ,Energy Costs 2012-03-08 (1).txt,Energy Costs ,Energy Market ,Energy Prices ,Onshore Wind Energy ",2012-03-08,14070,3,2,0,1,1,3,4,1,0,1,2,0
"Domestic Energy Bills ,Energy and Climate Change ,Energy Bills ,Energy Efficiency 2012-05-17 (1).txt,Energy Efficiency ,Energy Policy ",2012-05-17,12500,6,2,0,1,0,3,1,0,0,0,0,0
Energy Pricing ,2012-05-24,247,0,0,0,0,0,0,0,0,0,0,0,0
Energy Prices ,2012-06-20,289,0,0,0,0,0,0,0,0,0,0,0,0
