Word,Freq,Ignore,Bigram,Freq_b
radiation,1.0,,act help,2
gina,1.0,,necessity require,2
prising,1.0,,dallasfort worth,2
candidate,1.0,,program green,2
speech,1.0,,right talking,2
bankrupting,1.0,,collar type,2
siege,1.0,,new bill,2
refiner,1.0,,growing green,2
seetainly,1.0,,industry attractive,2
merely,1.0,,attractive veteran,2
filling,1.0,,shortsighted limit,2
ey,1.0,,people live,2
stearn,1.0,,community invest,2
vitally,1.0,,office plan,2
janit,1.0,,plan respond,2
someplace,1.0,,respond energy,2
volume,1.0,,energy disruption,2
nobody,1.0,,disruption physical,2
furchtgott,1.0,,physical cyber,2
roth,1.0,,cyber threat,2
relabeling,1.0,,threat look,2
capitol,1.0,,forward moving,2
imprecise,1.0,,forward support,2
shouldntenergy,1.0,,support bill,2
weyandt,1.0,,bill want,2
compliance,1.0,,want concentrate,2
shearer,1.0,,concentrate remark,2
monday,1.0,,remark hr,2
circle,1.0,,continue top,2
abingdon,1.0,,priority hr,2
ere,1.0,,designed train,2
reject,1.0,,train underserved,2
nsp,1.0,,underserved group,2
controlling,1.0,,group including,2
applause,1.0,,including women,2
morgan,1.0,,women minority,2
skewed,1.0,,veteran unemployed,2
kaiser,1.0,,unemployed energy,2
bundled,1.0,,worker returning,2
wentpopulation,1.0,,returning citizen,2
positively,1.0,,citizen among,2
metho,1.0,,among energy,2
dendum,1.0,,often lack,2
agoil,1.0,,lack resource,2
quietly,1.0,,resource take,2
unfold,1.0,,take large,2
bakken,1.0,,scale public,2
unlike,1.0,,public efficiency,2
titlemmending,1.0,,efficiency related,2
securitckinsey,1.0,,project look,2
incentiv,1.0,,look investing,2
httpbuildingsdatabookerendoegovtableviewaspxtable,1.0,,investing skilled,2
update,1.0,,worker manufacture,2
feegreen,1.0,,manufacture equipment,2
availconcern,1.0,,equipment build,2
lesser,1.0,,build operate,2
challengestunately,1.0,,operate plant,2
iple,1.0,,plant chairman,2
slightly,1.0,,finally hr,2
completion,1.0,,hr enhancing,2
captured,1.0,,enhancing state,2
usingatmosphere,1.0,,security planning,2
prevent,1.0,,planning emergency,2
calamitou,1.0,,emergency preparednes,2
greenblatt,1.0,,preparednes act,2
cuttino,1.0,,reauthorize state,2
hooray,1.0,,congressman rush,2
fuelsinvestment,1.0,,drafting proces,2
doubled,1.0,,proces regular,2
survive,1.0,,regular order,2
importantssistant,1.0,,order certainly,2
excuse,1.0,,certainly proces,2
comesefficient,1.0,,proces democrat,2
avai,1.0,,democrat proud,2
om,1.0,,proud estimated,2
deb,1.0,,estimated price,2
fischer,1.0,,tag eight,2
mazie,1.0,,eight bill,2
zak,1.0,,bill staggering,2
baig,1.0,,staggering billion,2
delta,1.0,,billion include,2
albina,1.0,,half billion,2
seat,1.0,,pilot program,2
youd,1.0,,efficient public,2
presentative,1.0,,building billion,2
lew,1.0,,billion weatherization,2
walk,1.0,,billion new,2
converted,1.0,,new home,2
marvelou,1.0,,saving retrofit,2
contrib,1.0,,retrofit rebate,2
injection,1.0,,rebate program,2
implemented,1.0,,program last,2
md,1.0,,going partisan,2
gy,1.0,,partisan bill,2
diligently,1.0,,bill pick,2
carbonize,1.0,,loser reward,2
polluting,1.0,,reward special,2
hosting,1.0,,special interest,2
hermann,1.0,,going repeat,2
prided,1.0,,past doubling,2
ourselve,1.0,,doubling failed,2
berenice,1.0,,failed effort,2
lopez,1.0,,effort president,2
dorsey,1.0,,program republican,2
founder,1.0,,republican focused,2
immigrant,1.0,,solution encourage,2
oaxaca,1.0,,encourage energy,2
youngest,1.0,,development wasting,2
draining,1.0,,wasting time,2
payroll,1.0,,time reviving,2
reply,1.0,,reviving old,2
pride,1.0,,old expired,2
mentored,1.0,,expired efficiency,2
perfo,1.0,,funding ready,2
machinery,1.0,,nation largest,2
journey,1.0,,campo thank,2
earned,1.0,,new million,2
sr,1.0,,either witnes,2
sister,1.0,,support chairman,2
consisted,1.0,,mcnerney thank,2
elevated,1.0,,palo verde,2
ization,1.0,,glad came,2
knew,1.0,,municipal utility,2
marry,1.0,,transition toward,2
mobile,1.0,,colorado model,2
counselor,1.0,,model nation,2
worksource,1.0,,take bold,2
outperform,1.0,,could provide,2
original,1.0,,fort collin,2
participati,1.0,,great thank,2
demographic,1.0,,energy firm,2
tied,1.0,,significant investment,2
certifica,1.0,,co sponsor,2
emerald,1.0,,legislation blue,2
particip,1.0,,thousand clean,2
ted,1.0,,question go,2
oti,1.0,,policy increase,2
expose,1.0,,electricity happen,2
normally,1.0,,happen people,2
rganization,1.0,,people mississippi,2
stellar,1.0,,mississippi alabama,2
tradesmen,1.0,,alabama georgia,2
tradeswomen,1.0,,georgia south,2
reminiscent,1.0,,south carolina,2
vonil,1.0,,carolina pay,2
muc,1.0,,pay rate,2
wrap,1.0,,rate people,2
adjourn,1.0,,people california,2
informal,1.0,,california connecticut,2
len,1.0,,security rush,2
andrew,1.0,,rush green,2
curiou,1.0,,green seek,2
odot,1.0,,seek ban,2
partici,1.0,,energy quality,2
momentum,1.0,,people massively,2
attend,1.0,,massively increase,2
seniority,1.0,,increase reliance,2
parttruction,1.0,,reliance renewable,2
yeah,1.0,,renewable electrification,2
privately,1.0,,electrification transportation,2
opposition,1.0,,transportation domestic,2
reeling,1.0,,domestic policy,2
app,1.0,,policy global,2
laud,1.0,,global implication,2
bullish,1.0,,implication first,2
insourcing,1.0,,first wont,2
restoring,1.0,,wont much,2
seingrey,1.0,,much reduce,2
burning,1.0,,emission global,2
classical,1.0,,emission keep,2
goalpost,1.0,,workforce legislation,2
sudden,1.0,,worker whose,2
supreme,1.0,,talking giving,2
gasee,1.0,,giving people,2
questioning,1.0,,people skill,2
um,1.0,,plug power,2
hum,1.0,,working seem,2
whitfieldjohn,1.0,,related fossil,2
simon,1.0,,solar electric,2
pacific,1.0,,emission made,2
pursuan,1.0,,made progres,2
advisory,1.0,,progres creating,2
readjustment,1.0,,seem determined,2
addresse,1.0,,determined impose,2
instructor,1.0,,impose green,2
excused,1.0,,deal policy,2
everybody,1.0,,policy cost,2
attended,1.0,,net basi,2
revise,1.0,,basi stifle,2
governed,1.0,,stifle development,2
served,1.0,,development allowed,2
discharged,1.0,,allowed reduce,2
eadjustment,1.0,,reduce emission,2
menu,1.0,,describe destruction,2
technologically,1.0,,destruction caused,2
cu,1.0,,caused policy,2
rrent,1.0,,policy opportunity,2
powerpathwaytm,1.0,,job fail,2
takano,1.0,,fail acknowledge,2
gre,1.0,,acknowledge cost,2
retired,1.0,,seem forgotten,2
sta,1.0,,forgotten basic,2
te,1.0,,economic principle,2
inspire,1.0,,principle breaking,2
ission,1.0,,breaking shopkeeper,2
multiplier,1.0,,shopkeeper window,2
compound,1.0,,somehow create,2
reintegration,1.0,,gain neither,2
outdoor,1.0,,neither destroying,2
firefighting,1.0,,energy replacing,2
undertaken,1.0,,replacing called,2
programmatic,1.0,,two reason,2
networking,1.0,,end result,2
orm,1.0,,result society,2
educated,1.0,,society pay,2
brick,1.0,,pay energy,2
matt,1.0,,energy lower,2
sensibility,1.0,,lower standard,2
studied,1.0,,living consequence,2
weathe,1.0,,consequence destruction,2
emerged,1.0,,academic biden,2
enrollment,1.0,,fuel represent,2
enrolled,1.0,,production consumption,2
communicated,1.0,,consumption abusing,2
employmentjob,1.0,,abusing government,2
locate,1.0,,government power,2
guidance,1.0,,power try,2
exit,1.0,,try achieve,2
fulfilling,1.0,,objective distort,2
disclosure,1.0,,distort capital,2
inco,1.0,,capital allocation,2
cfr,1.0,,allocation raise,2
sub,1.0,,consumer slow,2
jefferson,1.0,,slow economic,2
vitae,1.0,,growth finally,2
nbother,1.0,,deal job,2
recover,1.0,,program history,2
davidson,1.0,,history failure,2
knowmarket,1.0,,failure yet,2
analyst,1.0,,yet president,2
steep,1.0,,biden infrastructure,2
fortunat,1.0,,infrastructure plan,2
pile,1.0,,plan double,2
forced,1.0,,policy past,2
amending,1.0,,past consider,2
repealing,1.0,,consider example,2
misguided,1.0,,example plan,2
slowdown,1.0,,plan establish,2
nato,1.0,,establish billion,2
def,1.0,,billion national,2
surcharge,1.0,,national climate,2
slowed,1.0,,climate bank,2
lowered,1.0,,provide financing,2
shortfall,1.0,,financing called,2
ier,1.0,,obama promised,2
warned,1.0,,promised create,2
ening,1.0,,billion stimulu,2
enacted,1.0,,supposedly creating,2
amend,1.0,,program job,2
corruption,1.0,,general department,2
marketplaclandfill,1.0,,went people,2
wastewater,1.0,,people day,2
treatment,1.0,,number trainee,2
inexhaustible,1.0,,trainee entered,2
duty,1.0,,entered employment,2
taxi,1.0,,target percent,2
airport,1.0,,digging show,2
shuttle,1.0,,report later,2
cleintegrated,1.0,,deliver reliable,2
budgeting,1.0,,according john,2
executing,1.0,,even green,2
programsith,1.0,,really important,2
goesstorage,1.0,,job destroying,2
briefly,1.0,,foundation index,2
assiscalifornia,1.0,,index economic,2
richmondbuild,1.0,,heritage foundation,2
contra,1.0,,two report,2
graduateswant,1.0,,act slow,2
overcharged,1.0,,slow pace,2
zindler,1.0,,pace placing,2
verse,1.0,,placing worker,2
amazing,1.0,,job jeopardize,2
surpassing,1.0,,jeopardize employment,2
lucier,1.0,,employment goal,2
distributed,1.0,,day training,2
generatieconomy,1.0,,three million,2
reliablenewable,1.0,,politic infused,2
sixth,1.0,,infused obama,2
politicall,1.0,,obama energy,2
prospective,1.0,,doesnt mean,2
phenomena,1.0,,average salary,2
problematic,1.0,,sheet president,2
impactful,1.0,,biden set,2
diversion,1.0,,set greenhouse,2
beneficial,1.0,,pollution reduction,2
organic,1.0,,reduction target,2
owneroperator,1.0,,target aimed,2
nutrient,1.0,,aimed creating,2
ental,1.0,,paying union,2
weaknesse,1.0,,union job,2
self,1.0,,job securing,2
irrelevant,1.0,,oil natural,2
traded,1.0,,solar company,2
tru,1.0,,emission standard,2
categorized,1.0,,example shutting,2
asserted,1.0,,shutting nuclear,2
commonly,1.0,,nuclear facility,2
arab,1.0,,facility dont,2
opec,1.0,,dont whole,2
embargo,1.0,,lot option,2
sharp,1.0,,option super,2
dislocation,1.0,,super interested,2
depletable,1.0,,interested hydrogen,2
benjamin,1.0,,hydrogen talking,2
zycher,1.0,,talking australia,2
saud,1.0,,australia lot,2
transient,1.0,,lot experimentation,2
monograph,1.0,,experimentation hydrogen,2
aeiorg,1.0,,hydrogen job,2
httpwwwaeiorgwp,1.0,,plan demonstration,2
contentuploadsworld,1.0,,fund clean,2
pricespdf,1.0,,clean hydrogen,2
posit,1.0,,hydrogen exciting,2
onomy,1.0,,exciting whether,2
scarce,1.0,,green blue,2
uraged,1.0,,blue blue,2
ditch,1.0,,blue end,2
milton,1.0,,sequestered co,2
friedman,1.0,,co end,2
famou,1.0,,sequestered natural,2
laughable,1.0,,gas huge,2
finite,1.0,,huge opportunity,2
aggreg,1.0,,job lead,2
employmentelectricity,1.0,,world solution,2
unimportant,1.0,,solution could,2
notwithstanding,1.0,,could actually,2
ubiquitou,1.0,,actually allow,2
correlation,1.0,,funding brc,2
parameter,1.0,,brc million,2
fin,1.0,,million fy,2
ance,1.0,,fy doe,2
scc,1.0,,research spawn,2
energygovsitesprodfilesfchp,1.0,,spawn innovation,2
technicalpotentialstudy,1.0,,laboratory uni,2
finalpdf,1.0,,uni ormance,2
topping,1.0,,ormance wap,2
ref,1.0,,wap proven,2
ructing,1.0,,proven investment,2
stream,1.0,,investment sustainability,2
impor,1.0,,sustainability health,2
httpwwwbioorg,1.0,,health resiliency,2
sitesdefaultfilesbiobasedchemical,1.0,,resiliency community,2
revitalization,1.0,,community permanently,2
opened,1.0,,permanently benefiting,2
plastic,1.0,,benefiting low,2
chemistrlevel,1.0,,income family,2
emplo,1.0,,family disproportionally,2
yment,1.0,,disproportionally burdened,2
dishonest,1.0,,burdened energy,2
arithmetic,1.0,,cost supporting,2
seenaring,1.0,,supporting thousand,2
groundbreaking,1.0,,thousand quality,2
rangemarkey,1.0,,trade continue,2
portend,1.0,,continue recovery,2
wibear,1.0,,recovery covid,2
timeline,1.0,,covid pandemic,2
southeast,1.0,,pandemic wap,2
hecla,1.0,,wap opportunity,2
discovery,1.0,,opportunity invest,2
harmony,1.0,,invest growing,2
minor,1.0,,workforce improve,2
couldction,1.0,,improve health,2
linemen,1.0,,health thousand,2
frigid,1.0,,thousand family,2
challenged,1.0,,family fight,2
wholesale,1.0,,change formula,2
spiked,1.0,,formula funding,2
fueled,1.0,,funding leveraging,2
triggering,1.0,,lower cost,2
atmosphere,1.0,,give priority,2
northern,1.0,,conclusion madam,2
relieve,1.0,,come share,2
talkedwind,1.0,,act create,2
generated,1.0,,create comprehensive,2
terawatt,1.0,,comprehensive program,2
disaster,1.0,,training worker,2
goalsplant,1.0,,legislation like,2
caliber,1.0,,increase contractor,2
ran,1.0,,contractor diversity,2
restaurant,1.0,,efficiency sector,2
lunch,1.0,,revolution wind,2
featuring,1.0,,project vital,2
fresh,1.0,,vital part,2
vegetable,1.0,,part transitioning,2
surround,1.0,,change ending,2
challengesheat,1.0,,ending america,2
integration,1.0,,foreign adversary,2
angielski,1.0,,adversary securing,2
benewinter,1.0,,securing domestic,2
northeast,1.0,,domestic supply,2
neighbor,1.0,,chain critical,2
rejection,1.0,,critical rare,2
liquid,1.0,,rare earth,2
ethane,1.0,,earth mineral,2
recoverable,1.0,,mineral begin,2
appalachiequently,1.0,,begin proces,2
socialist,1.0,,proces extracting,2
fairytale,1.0,,extracting mineral,2
bioenergetic,1.0,,mineral ground,2
hemp,1.0,,ground repre,2
coffee,1.0,,production probable,1
takeover,1.0,,probable alternative,1
radical,1.0,,alternative fate,1
grijalva,1.0,,fate residue,1
spite,1.0,,residue use,1
delusional,1.0,,fuel report,1
topple,1.0,,report attempted,1
weakening,1.0,,attempted quantify,1
poorest,1.0,,quantify monetize,1
stment,1.0,,monetize value,1
selling,1.0,,value nonelectric,1
popularity,1.0,,nonelectric benefit,1
moniker,1.0,,benefit biomas,1
underperform,1.0,,biomas power,1
benchmark,1.0,,production term,1
glamour,1.0,,term criteria,1
popped,1.0,,emission landfill,1
forestall,1.0,,landfill capacity,1
neutrality,1.0,,capacity use,1
fairnes,1.0,,use forest,1
equality,1.0,,forest watershed,1
reallocate,1.0,,watershed improvement,1
alienate,1.0,,improvement rural,1
violate,1.0,,rural employment,1
di,1.0,,employment economic,1
stributional,1.0,,energy diversity,1
oppositi,1.0,,diversity security,1
aiming,1.0,,security finding,1
guaranteeing,1.0,,finding report,1
valeroa,1.0,,report notable,1
et,1.0,,notable important,1
citation,1.0,,important industry,1
quantity,1.0,,industry average,1
carcinogenic,1.0,,average cost,1
mutagenic,1.0,,cost deliver,1
risking,1.0,,deliver kilowatt,1
groundwater,1.0,,kilowatt hour,1
contamination,1.0,,hour electricity,1
prime,1.0,,electricity cent,1
enviice,1.0,,cent cent,1
jason,1.0,,cent report,1
hartke,1.0,,report conclude,1
joni,1.0,,conclude basedalone,1
stan,1.0,,basedalone application,1
sherrill,1.0,,application including,1
duke,1.0,,including residential,1
oday,1.0,,residential use,1
brighten,1.0,,cost fully,1
attendance,1.0,,fully dispatchable,1
sacrificing,1.0,,dispatchable system,1
anne,1.0,,system centskwh,1
pramaggiore,1.0,,centskwh centskwh,1
wh,1.0,,centskwh capable,1
stray,1.0,,producing power,1
pa,1.0,,power demand,1
abandon,1.0,,demand achieving,1
ose,1.0,,achieving target,1
regu,1.0,,target provide,1
cofounder,1.0,,provide industry,1
volt,1.0,,industry citizen,1
governmental,1.0,,citizen green,1
modernization,1.0,,energy option,1
merica,1.0,,option create,1
welding,1.0,,create broad,1
electronic,1.0,,broad range,1
unfilled,1.0,,job domestically,1
artment,1.0,,domestically contributing,1
engaging,1.0,,contributing substantially,1
literacy,1.0,,substantially world,1
civic,1.0,,world need,1
female,1.0,,need cleaner,1
reat,1.0,,cleaner power,1
ethefuture,1.0,,production alternative,1
sinesse,1.0,,alternative ranging,1
backbone,1.0,,ranging size,1
pillar,1.0,,size several,1
covering,1.0,,several kilowatt,1
meaningfully,1.0,,kilowatt dishengine,1
explore,1.0,,dishengine system,1
bge,1.0,,system multi,1
internship,1.0,,multi megawatt,1
schooler,1.0,,megawatt installation,1
innovating,1.0,,installation parabolic,1
encore,1.0,,parabolic trough,1
applicable,1.0,,trough power,1
evolution,1.0,,power tower,1
gray,1.0,,tower concentratingrequest,1
nee,1.0,,concentratingrequest international,1
kennedy,1.0,,resource comprrequest,1
appearing,1.0,,comprrequest international,1
immense,1.0,,resource comprn,1
isl,1.0,,comprn energy,1
handled,1.0,,intensive sector,1
caution,1.0,,sector perspective,1
mceachin,1.0,,perspective industry,1
transportat,1.0,,industry workshop,1
gentrified,1.0,,workshop argonne,1
intended,1.0,,argonne national,1
truong,1.0,,laboratory washington,1
incentivize,1.0,,dc july,1
narrowly,1.0,,july industry,1
hate,1.0,,industry losing,1
mis,1.0,,losing competitivenes,1
ohalleran,1.0,,world market,1
nationeconomic,1.0,,market plant,1
enhancement,1.0,,plant maintaining,1
nce,1.0,,maintaining competitivenes,1
essence,1.0,,competitivenes domestic,1
pr,1.0,,domestic market,1
establishe,1.0,,market domestic,1
sarbane,1.0,,domestic employment,1
alluded,1.0,,employment declining,1
lican,1.0,,declining continuously,1
transmitting,1.0,,continuously time,1
informative,1.0,,time labor,1
interwoven,1.0,,labor productivity,1
securi,1.0,,productivity continuously,1
tical,1.0,,continuously increasing,1
requested,1.0,,increasing new,1
duplicating,1.0,,new greenfield,1
connecting,1.0,,greenfield plant,1
underrepresented,1.0,,plant likely,1
hustr,1.0,,likely constructed,1
sandia,1.0,,constructed increased,1
windy,1.0,,increased productivity,1
shaking,1.0,,productivity result,1
trailer,1.0,,result capital,1
chinook,1.0,,capital investment,1
nwtc,1.0,,investment existing,1
bettercompany,1.0,,existing plant,1
trump,1.0,,plant argonne,1
arizoud,1.0,,argonne study,1
aspen,1.0,,study note,1
dire,1.0,,note domestic,1
stake,1.0,,domestic steel,1
motion,1.0,,industry experienced,1
legacy,1.0,,experienced significant,1
headed,1.0,,intensity sinceram,1
thrive,1.0,,sinceram policy,1
ork,1.0,,guarantee fed,1
illuminate,1.0,,fed crony,1
reinstitute,1.0,,experience substantiaram,1
furthermore,1.0,,substantiaram policy,1
incr,1.0,,loan guaranteesram,1
inventory,1.0,,guaranteesram policy,1
wade,1.0,,loan guaranteesfed,1
troxell,1.0,,guaranteesfed crony,1
kathy,1.0,,experience substantiar,1
castor,1.0,,substantiar beginning,1
polint,1.0,,beginning seriou,1
upstream,1.0,,seriou emission,1
pro,1.0,,reduction avoid,1
pical,1.0,,avoid truly,1
consistency,1.0,,truly dangerou,1
clarity,1.0,,dangerou global,1
crow,1.0,,warming without,1
ctually,1.0,,without severe,1
representing,1.0,,severe economic,1
infrastructur,1.0,,impact delay,1
hopefully,1.0,,delay make,1
centrally,1.0,,job harder,1
enclosing,1.0,,harder national,1
versatile,1.0,,science recently,1
manyprivate,1.0,,recently stated,1
oco,1.0,,stated failure,1
grapgy,1.0,,failure implement,1
tailored,1.0,,implement significant,1
foundational,1.0,,reduction net,1
bility,1.0,,net greenhouse,1
enact,1.0,,gas make,1
inspired,1.0,,much harder,1
conti,1.0,,harder future,1
ripe,1.0,,future term,1
haul,1.0,,term stabilizing,1
thirdly,1.0,,stabilizing atmospheric,1
demonstrationeliminate,1.0,,atmospheric abundance,1
filled,1.0,,abundance term,1
preferred,1.0,,term experiencing,1
discipline,1.0,,experiencing significant,1
rochester,1.0,,impact short,1
watson,1.0,,short slow,1
coleman,1.0,,slow start,1
corte,1.0,,start mean,1
vastnes,1.0,,mean crash,1
impording,1.0,,crash finish,1
manually,1.0,,finish longer,1
soft,1.0,,longer emission,1
unlock,1.0,,emission growth,1
finishing,1.0,,growth continue,1
sympathize,1.0,,continue steeper,1
carbo,1.0,,steeper disrupti,1
hey,1.0,,disrupti incorporate,1
pronged,1.0,,incorporate actual,1
shall,1.0,,actual cost,1
enter,1.0,,cost gasoline,1
impediment,1.0,,gasoline consumer,1
retraining,1.0,,consumer may,1
silly,1.0,,may think,1
czar,1.0,,think buying,1
task,1.0,,buying vehicle,1
spokesperson,1.0,,vehicle cost,1
definitely,1.0,,cost minimized,1
african,1.0,,minimized feebate,1
latino,1.0,,feebate phased,1
perez,1.0,,phased period,1
fallen,1.0,,period order,1
sewage,1.0,,order allow,1
stuff,1.0,,allow manufacturer,1
highcarbon,1.0,,manufacturer time,1
impo,1.0,,time respond,1
newly,1.0,,respond new,1
administrati,1.0,,technology greene,1
movie,1.0,,greene coauthor,1
twelve,1.0,,coauthor estimated,1
toomey,1.0,,estimated per,1
minded,1.0,,per gpm,1
trainin,1.0,,gpm feebate,1
administered,1.0,,feebate increase,1
pe,1.0,,increase average,1
rcent,1.0,,average fuel,1
turned,1.0,,fuel economy,1
dud,1.0,,economy mpg,1
fir,1.0,,mpg compared,1
farce,1.0,,compared mpg,1
became,1.0,,mpg using,1
util,1.0,,using inaccurate,1
dustry,1.0,,inaccurate mpg,1
ridiculou,1.0,,mpg value,1
educating,1.0,,value employed,1
bogu,1.0,,employed cafe,1
embarrassing,1.0,,cafe program,1
defunded,1.0,,program fee,1
ffect,1.0,,vehicle set,1
canceling,1.0,,set based,1
swallow,1.0,,based gpm,1
anoth,1.0,,gpm compared,1
rning,1.0,,compared midpoint,1
entry,1.0,,gpm midpoint,1
boat,1.0,,gpm mpg,1
tilli,1.0,,mpg divide,1
onslaught,1.0,,divide fee,1
raining,1.0,,vehicle category,1
slight,1.0,,category set,1
scored,1.0,,set total,1
retrained,1.0,,total value,1
younger,1.0,,value fee,1
ol,1.0,,fee roughmichael,1
wait,1.0,,roughmichael sweeten,1
recall,1.0,,sweeten small,1
dictate,1.0,,owner district,1
partially,1.0,,district town,1
nonetheles,1.0,,town supervisor,1
traditiona,1.0,,supervisor town,1
tage,1.0,,town warwick,1
consistently,1.0,,warwick new,1
undermine,1.0,,york heard,1
wwwheritageorgindex,1.0,,heard frequently,1
chunk,1.0,,frequently busines,1
packa,1.0,,owner feeling,1
devoted,1.0,,feeling pinch,1
fell,1.0,,pinch sweeten,1
pathetically,1.0,,sweeten operated,1
recov,1.0,,operated green,1
ery,1.0,,house nursery,1
surprisingly,1.0,,nursery operation,1
retained,1.0,,operation worst,1
upbeat,1.0,,worst time,1
commentary,1.0,,time whole,1
httpswwwheritageorgenvironmentcommentarygreen,1.0,,whole career,1
asserting,1.0,,career rising,1
comical,1.0,,rising energy,1
greenn,1.0,,cost wrote,1
es,1.0,,wrote december,1
tenuou,1.0,,december explaining,1
accepted,1.0,,explaining problem,1
httpswwwblsgov,1.0,,problem energy,1
newsreleasepdfggqcewpdf,1.0,,cost small,1
sillier,1.0,,businesse paid,1
wwwdailysignalcomgreen,1.0,,paid cent,1
trash,1.0,,per cubic,1
merchandise,1.0,,cubic feet,1
architectural,1.0,,feet jumped,1
youtube,1.0,,jumped per,1
httpswwwyoutubecomwatchvdsemhqsjok,1.0,,ccf month,1
envision,1.0,,month settled,1
licy,1.0,,settled percent,1
wealthy,1.0,,percent per,1
fluence,1.0,,ccf throust,1
stephen,1.0,,throust however,1
carol,1.0,,however situation,1
leonnig,1.0,,situation taken,1
httpswwwwashingtonpostcomsolyndra,1.0,,taken dramatic,1
programsgiqahllhp,1.0,,dramatic turn,1
storyhtml,1.0,,turn better,1
memo,1.0,,better thank,1
mail,1.0,,thank growing,1
repeatedly,1.0,,growing array,1
plethora,1.0,,array novel,1
incompetence,1.0,,novel way,1
administering,1.0,,way advance,1
overseeing,1.0,,advance wide,1
plight,1.0,,variety seemingly,1
multitrillion,1.0,,seemingly unrelated,1
onshore,1.0,,unrelated technology,1
insult,1.0,,technology area,1
lawyer,1.0,,area several,1
attorney,1.0,,several area,1
dentist,1.0,,area applied,1
profession,1.0,,applied science,1
gotration,1.0,,science employed,1
checker,1.0,,employed overcome,1
httpwwwtreasurygovtigtaauditreportsreport,1.0,,overcome earlier,1
frpdf,1.0,,earlier concern,1
treasury,1.0,,concern conventional,1
season,1.0,,conventional approache,1
august,1.0,,approache green,1
httpswwwtreasurygov,1.0,,energy silicon,1
tigtaauditreport,1.0,,silicon solar,1
reportsfrpdf,1.0,,solar cell,1
httpswwwwhitehouse,1.0,,cell example,1
govbriefing,1.0,,example work,1
roomstatement,1.0,,work cost,1
releasesfact,1.0,,cost much,1
suppres,1.0,,much produce,1
counterproductive,1.0,,produce install,1
geopolitical,1.0,,install despite,1
predicated,1.0,,despite incremental,1
vulnerability,1.0,,incremental progres,1
revolutionpublished,1.0,,progres silicon,1
fikile,1.0,,silicon device,1
associate,1.0,,device cost,1
cecil,1.0,,cost see,1
ida,1.0,,see photovoltaic,1
mit,1.0,,photovoltaic technology,1
electrochemical,1.0,,technology poised,1
bachelor,1.0,,poised grow,1
crold,1.0,,grow far,1
mcmaster,1.0,,far rapidly,1
norm,1.0,,rapidly notably,1
nitschke,1.0,,notably large,1
geniu,1.0,,large area,1
birth,1.0,,area pv,1
delivering,1.0,,pv modulesease,1
cementing,1.0,,modulesease energy,1
toledo,1.0,,conservation divert,1
tereduce,1.0,,divert resource,1
nonexistent,1.0,,resource otherwise,1
laxly,1.0,,otherwise available,1
enforced,1.0,,available produce,1
rooted,1.0,,service make,1
accomplishe,1.0,,make gdp,1
americanscomprise,1.0,,gdp higher,1
enabling,1.0,,cost raise,1
contribution,1.0,,raise cost,1
acoreorgwp,1.0,,cost manufacturing,1
contentuploadsexpectation,1.0,,manufacturing relative,1
transmiconfirmation,1.0,,relative competitor,1
granholm,1.0,,competitor country,1
meijer,1.0,,country adopt,1
mindful,1.0,,adopt limit,1
stater,1.0,,limit greenhouse,1
funsoring,1.0,,lead flow,1
sponsoring,1.0,,flow job,1
prioritized,1.0,,job investment,1
authoriznology,1.0,,investment united,1
neutral,1.0,,state toward,1
feature,1.0,,toward country,1
sync,1.0,,country emission,1
maximizing,1.0,,reduction achieved,1
cherrier,1.0,,achieved cost,1
pork,1.0,,state even,1
workingr,1.0,,even industrial,1
countriessomething,1.0,,industrial country,1
corroborate,1.0,,country unlikely,1
induced,1.0,,unlikely make,1
graph,1.0,,much difference,1
weber,1.0,,difference global,1
uphold,1.0,,global temperature,1
transitionncy,1.0,,temperature next,1
macro,1.0,,next centg,1
reinvigorate,1.0,,centg enable,1
paycheck,1.0,,enable market,1
item,1.0,,market penetration,1
alreadycommendation,1.0,,penetration cellulosic,1
drop,1.0,,cellulosic ethanol,1
empower,1.0,,ethanol epact,1
adopting,1.0,,epact created,1
cramer,1.0,,created title,1
lummi,1.0,,program program,1
sgamma,1.0,,program seek,1
hgrowth,1.0,,seek facilitate,1
recruit,1.0,,facilitate financing,1
ogy,1.0,,financing commercial,1
ibid,1.0,,commercial project,1
box,1.0,,gas employing,1
bipoc,1.0,,employing advanced,1
optimize,1.0,,technology renewable,1
user,1.0,,system advanced,1
gros,1.0,,eligible title,1
premature,1.0,,guarantee doe,1
shifting,1.0,,doe implementing,1
male,1.0,,implementing section,1
wable,1.0,,section energy,1
tight,1.0,,direct establishment,1
caa,1.0,,establishment reverse,1
recruiting,1.0,,reverse auction,1
proceeding,1.0,,auction incenti,1
sil,1.0,,incenti x,1
projecting,1.0,,x base,1
contradict,1.0,,base question,1
responded,1.0,,fuel opinion,1
impaable,1.0,,opinion department,1
funrporation,1.0,,energy slow,1
fallon,1.0,,slow implement,1
oliver,1.0,,implement price,1
mcpherson,1.0,,price question,1
smithnoaa,1.0,,fuel answer,1
mammal,1.0,,answer energy,1
whale,1.0,,finance directly,1
fake,1.0,,directly offer,1
conspiracy,1.0,,offer debt,1
theory,1.0,,debt financing,1
cherry,1.0,,financing cleanstify,1
logical,1.0,,cleanstify subcommittee,1
fallacy,1.0,,subcommittee concerning,1
blowfishing,1.0,,concerning critically,1
appeal,1.0,,important issue,1
