title,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
['Howard Government: Energy Policy'],2004-06-21,95965,7,3,0,16,4,1,0,0,3,1,0,0
['Nuclear Energy: Waste Storage'],2004-06-23,137474,4,4,0,8,3,0,1,0,0,0,0,0
['Environment: Energy Efficiency Standards'],2004-08-03,109426,2,1,0,8,3,0,0,0,0,0,0,0
['Environment: Renewable Energy'],2004-08-04,108736,1,0,1,2,10,0,0,0,0,0,0,0
['Environment: Mandatory Renewable Energy Targets Scheme'],2004-08-12,147475,0,14,2,7,8,0,0,0,0,0,0,0
['Environment: Alternative Energy'],2004-12-02,92454,4,5,1,8,6,0,0,0,0,0,0,0
"['Nuclear Energy', 'Nuclear Energy']",2005-06-15,144742,4,3,1,4,5,1,0,0,0,0,0,0
['Funding for Agricultural and Renewable Energy Research'],2005-11-01,68741,6,0,1,13,6,1,0,0,2,0,0,0
['Wind Energy'],2005-11-30,151016,0,10,0,13,22,0,0,0,1,0,1,0
['Fusion Energy Research'],2006-05-11,104619,6,10,3,3,4,1,4,0,0,0,0,0
['Energy'],2006-05-22,90172,2,4,4,2,4,1,0,1,0,0,0,0
"['Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy']",2006-05-24,146709,17,3,1,18,13,3,0,0,1,0,0,0
"['Nuclear Energy', 'Nuclear Energy']",2006-05-25,82846,2,5,1,1,4,5,1,1,0,1,0,0
['Nuclear Energy'],2006-06-01,99124,7,14,8,5,3,7,5,5,2,1,0,0
['Energy Initiatives'],2006-08-14,95010,4,2,0,14,3,2,0,1,5,0,0,0
['Energy Initiatives'],2006-08-15,83138,0,2,2,10,5,1,2,0,7,1,0,0
"['Nuclear Energy', 'Energy Initiatives', 'Energy Initiatives']",2006-08-17,75592,2,8,1,0,12,2,0,0,0,0,0,0
"['Renewable Energy', 'Energy Initiatives']",2006-09-04,100021,5,3,3,19,3,3,1,2,1,0,0,0
['Energy Efficiency Opportunities'],2006-09-07,94411,2,3,2,2,7,0,3,0,1,0,0,0
